（父）ASIN,（子）ASIN,商品名称,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B0CQCN5D14,B0CQC5KM57,"Zimk Full Size LED Bed Frame with RGBW LED Light Bed Frame,Linen Upholstered Headboard,Light Grey Full Bed Frame with 4 Storage Drawers,Solid Base Bed Frame,Noise Free",6,0,0.27%,0.00%,14,0,0.46%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CQCN5D14,B0CQC6C9KV,"Zimk Full Size Bed Frame with LED Lights,Linen Upholstered Headboard,Led Bed Frame with 4 Under-Bed Portable Storage Drawers,Heavy Duty Metal Slats Full Bed Frames,Easy Assembly,Dark Grey",9,2,0.41%,4.88%,14,3,0.46%,4.76%,100.00%,100.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CQCN5D14,B0CQC6PLKQ,"Zimk Bed Frame, Queen Size Bed Frame with LED Lights, Platform Bed Frame with Upholstered Headboard, Metal Queen Bed Frame with 4 Storage Drawers, Solid Steel, Easy Assembly,Dark Grey",1,0,0.05%,0.00%,4,0,0.13%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CR427QNR,B0CR3K58BZ,"AUTIGERSAFE Full Size Bed Frame with Headboard & 4 Drawers, Linen Upholstered Bed Frame with RGB Lights, Platform Bed Frame Full with Storage, No Box Spring Needed, Light Grey",2,0,0.09%,0.00%,2,0,0.07%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CR427QNR,B0CR3NVC49,"AUTIGERSAFE Full Bed Frame with Charging Station and LED Lights,Linen Upholstered Headboard,Led Full Size Bed Frame with 4 Storage Drawers,Heavy Duty Metal Slats,Easy Assembly,Dark Grey",2,0,0.09%,0.00%,2,0,0.07%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CR427QNR,B0CR3VJD5W,"AUTIGERSAFE LED Bed Frame Queen Size with 4 Storage Drawers,Linen Upholstered Headboard Bed Frame with Headboard Storage Led Light, No Box Spring Needed,Heavy Duty Metal Slats,Dark Grey",1,0,0.05%,0.00%,1,0,0.03%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CR427QNR,B0CR3VTLK3,"AUTIGERSAFE Queen Size Bed Frame with Storage and Drawers,Queen Bed Frame with Linen Upholstered Headboard LED Light Bed Frame, Heavy Duty Metal Bed Frame, No Box Spring Needed,Light Grey",2,0,0.09%,0.00%,2,0,0.07%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CR1477XN,B0CRDLJ83P,"AUTIGERSAFE Kids Bookshelf, Toy Storage Organizer, White Bookshelf, 5 Cube Storage Organizer, Wood Cubby Storage Cabinet, Toddler Toy Storage Shelf, Book Shelf for Kids Rooms, Playing Room, Nursery",39,1,1.77%,2.44%,41,1,1.34%,1.59%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CR1477XN,B0CRDN66LP,"AUTIGERSAFE 2-Tier Storage Shelf, Wood Storage Bookcase System with 2 Storage Bags,Small Bookcase for Nursery, Kids Room, Living Room, Kitchen, Closet Black",47,0,2.13%,0.00%,50,0,1.63%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CRHGDZ7W,B0CRHHQCWD,"AUTIGERSAFE King Size Platform Bed Frame with Upholstered Headboard,Button Tufted Design King Bed Frame Light Grey,No Box Spring Needed,Noise Free,Easy Assembly",5,0,0.23%,0.00%,7,0,0.23%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CRHGDZ7W,B0CRHHS12H,"AUTIGERSAFE Queen Size Platform Bed Frame with Upholstered Headboard,Button Tufted Design Queen Bed Frame Light Grey,No Box Spring Needed,Noise Free,Easy Assembly",6,0,0.27%,0.00%,8,0,0.26%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CQYCSSJQ,B0CRK5CQXN,"AUTIGERSAFE Bed Frame Full Size with LED Lights,Linen Upholstered Storage Headboard with Drawers, Heavy Duty Metal Slats, No Box Spring Needed, Noise Free, Easy Assembly, Dark Grey",3,0,0.14%,0.00%,3,0,0.10%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CQYCSSJQ,B0CRK5RY2K,"AUTIGERSAFE Full Bed Frame with RGB LED Lights Headboard & 4 Storage Drawers, Linen Upholstered Platform Full Size Bed Frame with Storage Headboard, Noise Free, No Box Spring Needed,Light Grey",3,0,0.14%,0.00%,3,0,0.10%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CRR4M12H,B0CRQV2J2P,"AUTIGERSAFE Full Size Bed Frame with Storage Headboard and 2 Drawers, LED Lights Bed with Charging Station, Metal Platform Bed No Noise, Sturdy Metal Slat Support, No Box Spring Needed,Brown",1,0,0.05%,0.00%,1,0,0.03%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CRR4M12H,B0CRQXKL8C,"AUTIGERSAFE Industrial Queen Size Bed Frame with Storage Headboard and 2 Drawers,Morden LED Lights Bed Frame with Charging Station, Metal Platform Bed No Noise, No Box Spring Needed",2,0,0.09%,0.00%,2,0,0.07%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CRYSTV7N,B0CRYX7Z5K,"AUTIGERSAFE Velvet Upholstered Armchair, Vanity Chair for Makeup, Lotus Chair with Waist Pillow, Chair for Bedroom with Wooden Leg",23,0,1.04%,0.00%,32,0,1.04%,0.00%,93.55%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CRYSTV7N,B0CRZ1MF45,"AUTIGERSAFE Velvet Upholstered Armchair, Vanity Chair for Makeup, Lotus Chair with Waist Pillow, Chair for Bedroom with Wooden Leg",10,0,0.45%,0.00%,15,0,0.49%,0.00%,92.86%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CS3CVYT9,B0CS3D271R,"AUTIGERSAFE Electric Lift Recliner Chair with Massage,Heat for Elderly,Oversized Recliner for Living Room with USB Port,Side Pocket",3,0,0.14%,0.00%,8,0,0.26%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CS3CVYT9,B0CS3G4G6B,"AUTIGERSAFE Electric Lift Recliner Chair with Massage,Heat for Elderly,Oversized Recliner for Living Room with USB Port,Side Pocket",2,0,0.09%,0.00%,2,0,0.07%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CS3CCC3J,B0CS3HMM53,"AUTIGERSAFE Power Lift Recliner Chair for Elderly, Heated Massage Recliner Sofa for Living Room with USB Charge Ports, Side Pocket",2,0,0.09%,0.00%,2,0,0.07%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CS3CCC3J,B0CS3JCY9X,"AUTIGERSAFE Power Lift Recliner Chair for Elderly, Heated Massage Recliner Sofa for Living Room with USB Charge Ports, Side Pocket",1,0,0.05%,0.00%,1,0,0.03%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CS3CCC3J,B0CS3LN5CZ,"AUTIGERSAFE Power Lift Recliner Chair for Elderly, Heated Massage Recliner Sofa for Living Room with USB Charge Ports, Side Pocket",3,0,0.14%,0.00%,5,0,0.16%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CS5D5SZ6,B0CS5BVRLJ,"AUTIGERSAFE Manual Recliner with Pull Ring, Rocking Chair with Massage and Heat, 360° Swivel Single Sofa for Adults,2 Cup Holders",1,0,0.05%,0.00%,1,0,0.03%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CS57X3FY,B0CS5GVHZ5,"AUTIGERSAFE Power Recliner Chair with Massage and Heat for Elderly, Breathable Faux Leather, Single Sofa Recliners for Living Room",1,0,0.05%,0.00%,1,0,0.03%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CS55TTVW,B0CS5H9RSF,"AUTIGERSAFE Manual Recliner with Massage and Heat, Rocking Chair, Oversized Recliner for Adults,Faux Leather Reclining Chair",2,0,0.09%,0.00%,3,0,0.10%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CS5D5SZ6,B0CS5KCW3S,"AUTIGERSAFE Manual Recliner with Pull Ring, Rocking Chair with Massage and Heat, 360° Swivel Single Sofa for Adults,2 Cup Holders",3,0,0.14%,0.00%,4,0,0.13%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CS5Z9YR4,B0CS5NM7FJ,"AUTIGERSAFE Home Office Swivel Chair, Vanity Chair for Bedroom, Fabric Desk Chair with Armrests,Swivel Adjustable Task Chair, Computer Chair with Soft Seat",3,0,0.14%,0.00%,3,0,0.10%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CS5Z9YR4,B0CS5T8T8X,"AUTIGERSAFE Home Office Swivel Chair, Vanity Chair for Bedroom, Fabric Desk Chair with Armrests,Swivel Adjustable Task Chair, Computer Chair with Soft Seat",26,0,1.18%,0.00%,29,0,0.94%,0.00%,96.43%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CS5PG5XV,B0CS5TH7JS,"AUTIGERSAFE Home Office Chair Swivel Velvet Desk Chair, Vanity Chair with Armrests for Bedroom,Upholstered Modern Tufted Chairs with Adjustable Casters",32,1,1.45%,2.44%,32,1,1.04%,1.59%,100.00%,100.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CS5PG5XV,B0CS5W1WTS,"AUTIGERSAFE Home Office Chair Swivel Velvet Desk Chair, Makeup Vanity Chair with Armrests for Bedroom,Modern Upholstered Chairs with Adjustable Wheels,for Living Room, Bedroom, Vanity, Study",3,0,0.14%,0.00%,3,0,0.10%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CS5PG5XV,B0CS5XNHBM,"AUTIGERSAFE Home Office Chair Swivel Velvet Desk Chair, Makeup Vanity Chair with Armrests for Bedroom,Modern Upholstered Chairs with Adjustable Wheels,for Living Room, Bedroom, Vanity, Study",91,1,4.13%,2.44%,91,1,2.97%,1.59%,100.00%,100.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CS5Z9YR4,B0CS5Z8HY1,"AUTIGERSAFE Home Office Swivel Chair, Vanity Chair for Bedroom, Fabric Desk Chair with Armrests,Swivel Adjustable Task Chair, Computer Chair with Soft Seat",52,0,2.36%,0.00%,57,0,1.86%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CSFYM3FQ,B0CSFYMD95,"AUTIGERSAFE Height Adjustable Drawing Desk,Drafting Table,Tilting Glass Tabletop Diamond Paintings Work Station,2 Storage Drawer and Stool for Home Office,School Study Room",3,0,0.14%,0.00%,3,0,0.10%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CSFWHT67,B0CSFZQ8B7,"AUTIGERSAFE Drafting Table,Height Adjustable Drawing Desk,75° Tilting Glass Drawing Art Table for Reading, Writing Art Craft Work Station,2 Storage Drawer and Stool for Home Office",9,0,0.41%,0.00%,14,0,0.46%,0.00%,58.33%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CSFWHT67,B0CSG2X5RC,"AUTIGERSAFE Drafting Table,Height Adjustable Drawing Desk,75° Tilting Glass Drawing Art Table for Reading, Writing Art Craft Work Station,2 Storage Drawer and Stool for Home Office",15,0,0.68%,0.00%,25,0,0.81%,0.00%,80.95%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CSFYM3FQ,B0CSG4PF65,"AUTIGERSAFE Height Adjustable Drawing Desk,Drafting Table,Tilting Glass Tabletop Diamond Paintings Work Station,2 Storage Drawer and Stool for Home Office,School Study Room",6,0,0.27%,0.00%,11,0,0.36%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CRYSTV7N,B0CSN94M43,"AUTIGERSAFE Velvet Upholstered Armchair, Vanity Chair for Makeup, Lotus Chair with Waist Pillow, Chair for Bedroom with Wooden Leg",3,0,0.14%,0.00%,3,0,0.10%,0.00%,66.67%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CRYSTV7N,B0CSND4WD4,"AUTIGERSAFE Velvet Upholstered Armchair, Vanity Chair for Makeup, Lotus Chair with Waist Pillow, Chair for Bedroom with Wooden Leg",5,0,0.23%,0.00%,11,0,0.36%,0.00%,81.82%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CRYSTV7N,B0CSNG8KBY,"AUTIGERSAFE Velvet Upholstered Armchair, Vanity Chair for Makeup, Lotus Chair with Waist Pillow, Chair for Bedroom with Wooden Leg",3,0,0.14%,0.00%,3,0,0.10%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CRYSTV7N,B0CSNNG73R,"AUTIGERSAFE Velvet Upholstered Armchair, Vanity Chair for Makeup, Lotus Chair with Waist Pillow, Chair for Bedroom with Wooden Leg",6,0,0.27%,0.00%,6,0,0.20%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CT7QRXP1,B0CT7QRXP1,"Jo Hero Large Safe Box,2.0 Cubic Feet Cabinet Safes for Office with Fireproof Waterproof Bag,Security Safe Home for Document Money Cash Valuables,Deposit Safe Box for Home Fireproof Waterproof",5,0,0.23%,0.00%,7,0,0.23%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CTQ26ZLN,B0CTQ26ZLN,"AUTIGERSAFE 3 Drawer Wooden File Cabinet, Mobile Storage Cabinet, Lateral Printer Stand with Open Storage Shelves, Filing Cabinets for Home Office(Black)",2,0,0.09%,0.00%,2,0,0.07%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CTQT5SJP,B0CTQ26ZLN,"AUTIGERSAFE 3 Drawer Wooden File Cabinet, Mobile Storage Cabinet, Lateral Printer Stand with Open Storage Shelves, Filing Cabinets for Home Office(Black)",68,1,3.09%,2.44%,98,1,3.19%,1.59%,96.43%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CTQ6WM5F,B0CTQ6WM5F,"AUTIGERSAFE 3 Drawer Wooden File Cabinet, Mobile Storage Cabinet, Lateral Printer Stand with Open Storage Shelves, Filing Cabinets for Home Office(White)",16,0,0.73%,0.00%,21,0,0.68%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CX11WDM2,B0CX11WDM2,"Jo Hero Safe Box,Fireproof Waterproof Safe Box Bag,Home Security Safe for Money,Office Security Electronic Safe Box,Secure Documents,Jewelry,Valuables 1.4 Cubic Feet",3,0,0.14%,0.00%,7,0,0.23%,0.00%,85.71%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CX1PV9L5,B0CX1PV9L5,"AUTIGERSAFE Round Coffee Table, Portable Wood Design Glass Small Coffee Table, Modern Living Room Center Table, End Table, Easy Install Coffee Table M27",14,0,0.64%,0.00%,22,0,0.72%,0.00%,80.95%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CXF2DRCL,B0CXDZS1MV,"AUTIGERSAFE Nursery Rocking Chair Unique Rocking Chair Accent Chair Padded Seat with High Backrest Armchair Comfortable side chairs in The living room, bedroom, and office (Brown) (PU Leather, Brown)",2,0,0.09%,0.00%,2,0,0.07%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CXF2DRCL,B0CXF35XQC,"AUTIGERSAFE Nursery Rocking Chair Unique Rocking Chair Accent Chair Padded Seat with High Backrest Armchair Comfortable side chairs in The living room, bedroom, and office (Brown) (Velvet, Pink)",3,0,0.14%,0.00%,3,0,0.10%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CYZNVS3B,B0CYZBMPNP,"Laundry Hamper 3 Tier Laundry Sorter, Laundry Basket, Vertical Laundry Sorter, Laundry Organizer, Laundry Sorter with 4 Removable Bags for Organizing Clothes for Living Room, Laundry Room",1,0,0.05%,0.00%,1,0,0.03%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CZ76NV1Z,B0CZ6WQQPC,"Massage Power Recliner Sofa for Adults Chairs Grey, Oversized with Cup Holders Living Room Massage PU Soft Fabric Recliner Sofa Home Theater Seating with Lumbar Support",3,0,0.14%,0.00%,3,0,0.10%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CZ71D5GD,B0CZ7184RH,"AUTIGERSAFE 21"" Seat Width,Large Size Electric Power Lift Recliner Chair Sofa for Elderly, 8 Point Vibration Massage and Lumber Heat, Remote Control, Side Pockets and Cup Holders(Gray)",1,0,0.05%,0.00%,1,0,0.03%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0D1831N9M,B0D17Z5HDP,AUTIGERSAFE Adjustable Bed Frame King Queen Bed Frame for Adjustable Base Wireless Remote Zero Gravity Bed Full Size Electric Ergonomic Bed Base (Black),2,0,0.09%,0.00%,3,0,0.10%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0D3Q2926L,B0D3PM5BTN,"Big and Tall Office Chair, Back Support Office Chair, Glossy PU Leather Executive Office Chair, Reclining Office Chair, Office Chair with Retractable Footrest and Liftable Padded Armrest (Black)",9,0,0.41%,0.00%,9,0,0.29%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0D3QD1SDT,B0D3PP95B3,"Big and Tall Office Chair, 500lbs High Back Large Executive Chair with Electric Airbag Heating High Back Computer Chair with Wide Seat, Black Ergonomic Leather Rocking Chair (Black)",51,0,2.31%,0.00%,52,0,1.69%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0D3LL6WVG,B0D4222KBD,"AUTIGERSAFE 2.5 Cubic Feet High-Security Large-Sized Safe Box with Inner Cabinets and Electronic Password Lock for Home, Office and Hotel Use Black",12,0,0.54%,0.00%,18,0,0.59%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0D45LGZ8Y,B0D45B7MTZ,"AUTIGERSAFE Bed Frame with Headboard, Solid Wood Platform Bed with Wooden Slats, No Box Spring Needed, No Box Spring Needed, Easy Assembly, King, Vintage Brown (King (U.S. Standard))",1,0,0.05%,0.00%,1,0,0.03%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0D45LGZ8Y,B0D45D3L9P,"AUTIGERSAFE Bed Frame with Headboard, Solid Wood Platform Bed with Wooden Slats, No Box Spring Needed, No Box Spring Needed, Easy Assembly, Queen, Vintage Brown (Queen (U.S. Standard))",4,0,0.18%,0.00%,4,0,0.13%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0D45LGZ8Y,B0D45D92M3,"AUTIGERSAFE Full Size Bed Frame with Headboard, Solid Wood Platform Bed with Wooden Slats, No Box Spring Needed, No Box Spring Needed, Easy Assembly, Full, Vintage Brown (Full)",1,0,0.05%,0.00%,1,0,0.03%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0D45W173C,B0D45PHKWT,"AUTIGERSAFE Benz Power Recliner Sofa and Loveseat Set - Ice Faux Leather Home Theater Seating with LED, Adjustable Headrests & Built-in USB Ports (Ice)",5,0,0.23%,0.00%,5,0,0.16%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0D47CB2XD,B0D471XS6Q,"AUTIGERSAFE Living Room Chairs,Solid Wood Accent Chair,Mid-Century Modern Side Arm Chair,Single Sofa Chair,Leisure Chair with Back for Living Room,Bedroom,Waiting Room (Black)",2,0,0.09%,0.00%,2,0,0.07%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0D47CB2XD,B0D472FBBQ,"AUTIGERSAFE Living Room Chairs,Solid Wood Accent Chair,Mid-Century Modern Side Arm Chair,Single Sofa Chair,Leisure Chair with Back for Living Room,Bedroom,Waiting Room (Brown)",2,0,0.09%,0.00%,2,0,0.07%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0D47CB2XD,B0D473VCCH,"AUTIGERSAFE Living Room Chairs,Solid Wood Accent Chair,Mid-Century Modern Side Arm Chair,Single Sofa Chair,Leisure Chair with Back for Living Room,Bedroom,Waiting Room (Light Camel)",3,0,0.14%,0.00%,3,0,0.10%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0D47CB2XD,B0D474PDSN,"AUTIGERSAFE Living Room Chairs,Solid Wood Accent Chair,Mid-Century Modern Side Arm Chair,Single Sofa Chair,Leisure Chair with Back for Living Room,Bedroom,Waiting Room (Grey)",1,0,0.05%,0.00%,2,0,0.07%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0D6DTWF3K,B0D6DTWF3K,"AUTIGERSAFE Set of 2 Nesting Tables, Modern Round Nesting Coffee Table with Storage, Farmhouse End Tables Living Room, Wood Side Tables Set of 2 for Sofa, Bedroom Black",9,0,0.41%,0.00%,12,0,0.39%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0DHRL3LX2,B0D6DTWF3K,"AUTIGERSAFE Set of 2 Nesting Tables, Modern Round Nesting Coffee Table with Storage, Farmhouse End Tables Living Room, Wood Side Tables Set of 2 for Sofa, Bedroom Black",52,1,2.36%,2.44%,73,2,2.38%,3.17%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
